City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
361,Grand Baie,MU,75.99,moderate rain,-20.02,57.58,Trou aux Biches Beachcomber Golf Resort & Spa
362,Vao,NC,77.31,clear sky,-22.67,167.48,Hotel Kou-Bugny
365,Basco,PH,75.7,overcast clouds,20.45,121.97,Nathaniel's Lodge
369,Acarau,BR,79.57,clear sky,-2.89,-40.12,castelo pizzaria
371,Port Macquarie,AU,84.0,moderate rain,-31.43,152.92,Rydges Port Macquarie
372,Port Moresby,PG,87.8,haze,-9.44,147.18,Lamana Hotel
373,Bowen,AU,82.4,broken clouds,-20.02,148.23,Castle Motor Lodge Motel
391,Cap Malheureux,MU,75.99,moderate rain,-19.98,57.61,Pereybere Hotel & Spa
395,Mana,GF,78.03,clear sky,5.66,-53.78,LE SAMANA
400,Dingle,PH,80.78,light rain,11.0,122.67,SEGAYA PROPERTY
410,Iquitos,PE,77.0,clear sky,-3.75,-73.25,Cortez Malaga Techy Caroly
412,Port Hedland,AU,87.8,broken clouds,-20.32,118.57,The Esplanade Hotel
415,Yulara,AU,77.0,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
416,Mazagao,BR,80.6,light rain,-0.12,-51.29,Casa Lima Santos
428,Bambari,CF,75.43,broken clouds,5.77,20.68,Hotel-Restaurant BIBICH
431,Saint-Joseph,RE,77.0,clear sky,-21.37,55.62,"""Plantation Bed and Breakfast"
436,Giyani,ZA,75.27,clear sky,-23.3,30.72,Kulani Country Lodge
438,Bonfim,BR,79.81,overcast clouds,3.08,-59.95,
440,Bambanglipuro,ID,82.54,moderate rain,-7.95,110.28,Puri Brata
449,Charlestown,AU,84.0,overcast clouds,-32.95,151.67,Panorama Motor Inn Hotel
451,Gondanglegi,ID,80.85,overcast clouds,-7.75,112.01,Gg. Munasir Homestay
454,Chake Chake,TZ,78.01,overcast clouds,-5.25,39.77,Hotel Archipelago
456,Mount Isa,AU,77.0,broken clouds,-20.73,139.5,ibis Styles Mt Isa Verona
457,Young,UY,77.45,clear sky,-32.68,-57.63,Posada Gira el Sol
464,Benguela,AO,75.02,overcast clouds,-12.58,13.41,Hotel Praia Morena
467,Inhambane,MZ,76.24,clear sky,-23.86,35.38,Oceano
468,Kismayo,SO,78.67,clear sky,-0.36,42.55,Agan-Hotel
475,Belmonte,BR,77.0,scattered clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
477,Kumphawapi,TH,75.0,mist,17.11,103.01,โรงแรมมีเพลส กุมภวาปี
485,Port Blair,IN,80.76,broken clouds,11.67,92.75,Welcomhotel Bay Island Port Blair
490,Palu,ID,86.11,overcast clouds,-0.89,119.87,Hotel Santika Palu
494,Epe,NG,75.72,scattered clouds,6.58,3.98,MAGVILLE HOTEL
506,Goya,AR,79.09,clear sky,-29.14,-59.26,Apart Costanera
516,Sokoni,TZ,81.16,broken clouds,-6.43,39.55,Ujamaa Beach Resort
526,Marigot,MF,78.8,few clouds,18.07,-63.08,Royal Palm Beach Resort
529,Byron Bay,AU,86.0,clear sky,-28.65,153.62,Backpackers Inn on the Beach
530,Namatanai,PG,86.13,overcast clouds,-3.67,152.43,Namatanai Hotel
534,Kahului,US,87.8,few clouds,20.89,-156.47,Maui Seaside Hotel
539,Geraldton,AU,89.6,clear sky,-28.77,114.6,Broadwater Mariner Resort
545,Thabazimbi,ZA,78.12,overcast clouds,-24.59,27.41,eagels rest
551,Conde,BR,78.8,scattered clouds,-7.26,-34.91,Pousada Beija Flor
558,San Rafael Del Sur,NI,78.8,clear sky,11.85,-86.44,Hospedaje El Chino
563,El Paujil,CO,75.42,light rain,1.57,-75.33,Hostal La Reina
567,Tautira,PF,86.0,scattered clouds,-17.73,-149.15,Pension Oaoa
572,Bodden Town,KY,75.2,few clouds,19.28,-81.25,Will T Place
576,Galesong,ID,80.6,few clouds,-5.32,119.37,Sapriadi Appy
577,Tutoia,BR,81.72,overcast clouds,-2.76,-42.27,Pousada Guará's
583,Olinda,BR,78.8,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
585,Queanbeyan,AU,84.2,scattered clouds,-35.35,149.23,Parkway Motel
596,Ambilobe,MG,75.29,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
602,Ambon,ID,87.8,few clouds,-3.7,128.18,Swiss-Belhotel Ambon
606,Oranjestad,AW,80.6,scattered clouds,12.52,-70.03,Divi Village Golf & Beach Resort
608,San Ramon De La Nueva Oran,AR,84.0,light rain,-23.13,-64.33,Hotel Residencial Centro
609,Metro,ID,78.33,overcast clouds,-5.11,105.31,OYO 3177 Wisma Lintang
614,San Cristobal,VE,77.0,few clouds,7.77,-72.22,Pirineos
615,Aneho,TG,80.6,few clouds,6.23,1.6,Hotel La Linette
619,Ranong,TH,75.2,broken clouds,9.97,98.63,Tinidee Hotel@Ranong
620,Kirakira,SB,83.89,moderate rain,-10.45,161.92,SanBiz Lodge
622,Juruti,BR,75.74,moderate rain,-2.15,-56.09,Hotel Acauã - ORLA
626,Sampit,ID,81.82,light rain,-2.53,112.95,Aquarius Boutique Hotel Sampit
631,Moron,AR,79.0,overcast clouds,-34.65,-58.62,Hotel Morón
632,Martapura,ID,82.4,scattered clouds,-3.42,114.85,Montana Hotel Syariah
634,Soyo,AO,77.49,overcast clouds,-6.13,12.37,Hotel Mpampa
638,Mitsamiouli,KM,82.09,overcast clouds,-11.38,43.28,Foyer ADM
639,Boa Vista,BR,80.6,broken clouds,2.82,-60.67,Aipana Plaza Hotel
645,Mwaya,TZ,75.61,light rain,-9.55,33.95,
651,Bonthe,SL,78.67,clear sky,7.53,-12.51,Bonthe Holiday Village
653,Micheweni,TZ,80.71,broken clouds,-4.97,39.83,
663,San Policarpo,PH,81.88,heavy intensity rain,12.18,125.51,JM Lodge
667,Kuching,MY,80.6,few clouds,1.55,110.33,Hilton Kuching
682,Barahona,DO,75.25,light rain,18.21,-71.1,Hotel Caribe
683,Touho,NC,79.45,broken clouds,-20.78,165.23,Auberge Timay Evasion
687,Trincomalee,LK,79.7,moderate rain,8.57,81.23,Welcombe Hotel
688,Buala,SB,84.07,moderate rain,-8.14,159.59,Maringe Lagoon Lodge
691,The Valley,AI,78.8,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
694,Porto Nacional,BR,77.0,light rain,-10.71,-48.42,Vila Real Hotel
698,Santa Rosa,PH,79.0,broken clouds,14.31,121.11,Erlyn’s Sta Rosa City Home
699,Fare,PF,81.61,clear sky,-16.7,-151.02,Maitai Lapita Village Huahine
700,Robertsport,LR,80.17,broken clouds,6.75,-11.37,Kwepunha Retreat
704,Kloulklubed,PW,78.8,overcast clouds,7.04,134.26,Storyboard Beach Resort
