City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
61,Carnarvon,AU,2020-12-28 00:53:48,-24.87,113.63,91.4,36,0,11.41,clear sky
62,Elmira,US,2020-12-28 01:00:45,42.09,-76.81,32.0,93,1,4.7,clear sky
63,Castro,BR,2020-12-28 00:49:47,-24.79,-50.01,62.67,97,1,7.63,clear sky
64,Namibe,AO,2020-12-28 00:54:32,-15.2,12.15,71.29,73,100,3.62,overcast clouds
65,Palm Beach,US,2020-12-28 01:00:46,26.65,-80.45,63.0,89,9,1.99,clear sky
66,Anloga,GH,2020-12-28 01:00:47,5.79,0.9,80.6,88,20,4.7,few clouds
67,Codrington,AU,2020-12-28 00:54:12,-38.27,141.97,59.29,47,100,11.61,overcast clouds
68,Ukiah,US,2020-12-28 01:00:30,39.15,-123.21,50.0,66,1,2.3,clear sky
69,Butaritari,KI,2020-12-28 00:53:48,3.07,172.79,81.68,79,100,21.85,overcast clouds
70,Ahipara,NZ,2020-12-28 00:54:21,-35.17,173.17,64.42,52,9,12.28,clear sky
71,Ketchikan,US,2020-12-28 01:00:48,55.34,-131.65,33.96,90,27,3.18,scattered clouds
72,Sola,VU,2020-12-28 00:55:27,-13.88,167.55,83.59,73,7,7.31,clear sky
73,New Norfolk,AU,2020-12-28 00:53:49,-42.78,147.06,63.0,38,85,5.01,overcast clouds
74,Faanui,PF,2020-12-28 00:53:56,-16.48,-151.75,80.74,69,100,7.18,overcast clouds
75,Saldanha,ZA,2020-12-28 00:54:24,-33.01,17.94,59.0,77,0,9.17,clear sky
76,Sitka,US,2020-12-28 00:53:44,57.05,-135.33,37.4,93,90,3.36,light rain
77,Dolores,AR,2020-12-28 01:00:49,-36.31,-57.68,71.49,79,97,15.79,overcast clouds
78,Souillac,MU,2020-12-28 00:54:42,-20.52,57.52,77.0,83,40,11.41,shower rain
79,Uniao,BR,2020-12-28 01:00:49,-4.59,-42.86,84.2,66,0,3.36,clear sky
80,Channel-Port Aux Basques,CA,2020-12-28 01:00:50,47.57,-59.14,32.65,87,2,15.52,clear sky
81,Atuona,PF,2020-12-28 00:53:32,-9.8,-139.03,79.12,74,0,15.97,clear sky
82,Yar-Sale,RU,2020-12-28 00:53:50,66.83,70.83,-24.52,85,98,16.37,overcast clouds
83,Panguna,PG,2020-12-28 01:00:51,-6.32,155.48,77.49,87,69,1.63,moderate rain
84,Saint Anthony,US,2020-12-28 00:49:36,45.02,-93.22,23.0,92,90,12.75,light snow
85,Singkawang,ID,2020-12-28 01:00:51,0.9,109.0,81.7,75,0,5.28,clear sky
86,Nemuro,JP,2020-12-28 00:54:02,43.32,145.57,17.6,78,20,2.24,few clouds
87,Labuhan,ID,2020-12-28 00:54:01,-6.88,112.21,77.47,86,100,5.32,light rain
88,Reconquista,AR,2020-12-28 01:00:27,-29.15,-59.65,79.45,52,16,5.79,few clouds
89,Bethel,US,2020-12-28 00:54:16,41.37,-73.41,28.99,68,1,4.7,clear sky
90,Paamiut,GL,2020-12-28 00:55:14,61.99,-49.67,39.74,87,100,34.94,moderate rain
91,Susanville,US,2020-12-28 01:00:53,40.42,-120.65,33.8,86,1,3.36,clear sky
92,Rio Grande,BR,2020-12-28 00:58:50,-32.03,-52.1,73.99,85,29,5.99,scattered clouds
93,Bonnyville,CA,2020-12-28 01:00:53,54.27,-110.73,12.2,85,75,4.61,broken clouds
94,Deogarh,IN,2020-12-28 01:00:53,21.53,84.73,52.39,55,0,0.96,clear sky
95,Ixtapa,MX,2020-12-28 00:59:22,20.7,-105.2,71.6,83,75,8.05,broken clouds
96,Longyearbyen,SJ,2020-12-28 00:53:59,78.22,15.64,23.0,67,40,25.28,scattered clouds
97,Poronaysk,RU,2020-12-28 01:00:54,49.22,143.12,-5.28,86,9,6.04,clear sky
98,Kodiak,US,2020-12-28 00:53:42,57.79,-152.41,37.4,86,90,13.87,moderate rain
99,Novocheremshansk,RU,2020-12-28 01:00:54,54.36,50.17,9.21,96,92,4.92,overcast clouds
100,Albany,US,2020-12-28 00:49:07,42.6,-73.97,32.0,66,100,5.84,overcast clouds
101,Georgetown,MY,2020-12-28 00:50:17,5.41,100.34,77.0,94,20,5.82,few clouds
102,Avarua,CK,2020-12-28 00:54:10,-21.21,-159.78,82.4,74,14,3.36,few clouds
103,Iqaluit,CA,2020-12-28 00:55:14,63.75,-68.51,21.2,79,90,8.05,light snow
104,Hit,IQ,2020-12-28 01:00:55,33.64,42.83,48.99,45,66,4.36,broken clouds
105,Anstruther,GB,2020-12-28 01:00:56,56.22,-2.7,32.0,86,0,4.7,clear sky
106,Mackenzie,CA,2020-12-28 01:00:56,55.3,-123.17,28.4,92,90,5.82,light snow
107,Yamada,JP,2020-12-28 00:53:21,39.47,141.95,44.46,65,100,2.91,overcast clouds
